PGIns2 / PGUni2,PGIns_Class
KAKATIYA UNIVERSITY,UNKNOWN
KALYANI UNIVERSITY,UNKNOWN
KANNADA UNIVERSITY,UNKNOWN
KANNUR UNIVERSITY,UNKNOWN
Kanpur University,UNKNOWN
KAR VETE ANIMAL & FISH SCI UNI,UNKNOWN
KARNATAKA STATE OPEN UNI,UNKNOWN
KARNATAKA STATE OPEN UNIVERSITY ,UNKNOWN
KARNATAKA UNIVERSITY,UNKNOWN
KARUNYA UNIVERSITY,UNKNOWN
KASHMIR UNIVERSITY,UNKNOWN
KERALA UNIVERSITY,UNKNOWN
KIIT Sch of Mgmt Bhubaneshwar,TIER_3
Kolhapur Institute of Technology,UNKNOWN
Kolkata University,UNKNOWN
KOTA UNIVERSITY,UNKNOWN
KRISHNA UNIVERSITY,UNKNOWN
KUMAUN UNIVERSITY,UNKNOWN
"KURUKSHETRA UNIV, HARYANA",TIER_3
KURUKSHETRA UNIVERSITY,TIER_3
KUVEMPU UNIVERSITY,UNKNOWN
L N MITHILA UNIVERSITY,UNKNOWN
LAL BAHADUR SHAST INST OF MGT,TIER_3
LALIT NARAYAN MITHILA UNIV,UNKNOWN
LALIT NARAYAN UNIVERSITY,UNKNOWN
LBS INST OF MGT & TECH BAREILY,UNKNOWN
"LIBA, Chennai",TIER_2
"LIBA,CHENNAI",TIER_2
LITTLE FLOWER ENGLISH MEDIUM HIGH SCHOOL,UNKNOWN
LOVELY PROFESSIONAL UNIVERSITY,UNKNOWN
LOYOLA INST OF BUS ADMN CHENAI,TIER_2
LRG NAIDU JR COLLEGE,UNKNOWN
Lucknow,UNKNOWN
LUCKNOW UNIVERSITY,UNKNOWN
"LUMBA, Lucknow",TIER_3
LYALLPUR KHALSA COLLEGE,UNKNOWN
M COM,UNKNOWN
M J P ROHILKAHND UNIVERSITY,UNKNOWN
M S UNIVERSITY,TIER_3
M.S.RAMAIAH INST OF MGMT,TIER_3
MADRAS UNIVERSITY,TIER_3
MADURAI KAMARAJ UNIVERSITY,TIER_3
MADURAI KAMARAJAR UNIVERSITY,TIER_3
MAGADH UNIVERSITY,UNKNOWN
MAH STATE BOARD SEC  HIGH SEC,UNKNOWN
MAHA PRATAP UNIV OF AGRI & TEC,UNKNOWN
MAHA SAYAJIRAO UNIV OF BARODA,TIER_3
MAHAMAYA TECH UNIVERSITY,UNKNOWN
MAHARAJA AGARSEN COLLEGE,UNKNOWN
MAHARAJA GANGA SINGH UNI,UNKNOWN
MAHARAJA SAYAJI UNIV OF BARODA,TIER_3
MAHARAJA’S COLLEGE,UNKNOWN
MAHARANI LAXMIBAI COLLEGE,UNKNOWN
MAHARASHTRA INSTITUTE OF TECH,UNKNOWN
MAHARISHI ARVND INST SCI MGMT,UNKNOWN
MAHARISHI DAYANAND UNIVERSITY,TIER_3
MAHARISHI INST OF MGT,TIER_3
MAHARISHI INSTITUTE OF MGT,TIER_3
MAHARISHI MARKANDESHWAR UNI,UNKNOWN
MAHARSHI DAYANAND SARAS UNIV,TIER_3
MAHARSHI DAYANAND UNI,TIER_3
MAHARSHI DAYANSARAS UNIV AJMER,TIER_3
MAHATMA GANDHI CHITRAKOOT GRAM,UNKNOWN
MAHATMA GANDHI KASHI VIDYAPITH,UNKNOWN
MAHATMA GANDHI UNIVERSITY,UNKNOWN
MAHATMA JYOTIBA PHULE ROH UNIV,UNKNOWN
MAHATMA JYOTIBA PHULE ROHIL UN,UNKNOWN
MAKHANLAL CHATURVEDI NATI UNI,UNKNOWN
MAKHANLAL CHATURVEDI NTL UNIV,UNKNOWN
MANAV BHARTI UNIVERSITY,UNKNOWN
MANGALAYATAN UNIVERSITY,UNKNOWN
MANGALMAY INST OF MGMT & TECH,UNKNOWN
MANGALORE UNIVERSITY,UNKNOWN
MANIPAL ACADEMY OF HIGHER EDU,TIER_3
MANIPAL UNIVERSITY,TIER_3
