Previous Designation,Prev_Desig_Class
" AREA BUSINESS MANAGER,Deputy Manager - Operations",DEPUTY BRANCH MANAGER
 AREA COLLECTION MANAGER,CREDIT MANAGER
 AREA CREDIT MANAGER,CREDIT MANAGER
" AREA CREDIT MANAGER,AREA CREDIT MANAGER,MANAGER,EXECUTIVE,AREA COLLECTION MANAGER",DEBT SERVICE MANAGEMENT GROUP
 AREA HEAD,MANAGER
" AREA HEAD,ASSISTANT",MANAGER
" AREA HEAD,ASSISTANT MANAGER,AREA HEAD",MANAGER
" AREA HEAD,BRANCH HEAD",BRANCH MANAGER
" AREA HEAD,Branch Manager",BRANCH MANAGER
" AREA HEAD,EXECUTIVE,MANAGER",SALES MANAGER
 AREA MANAGER,SALES MANAGER
" AREA MANAGER,AREA MANAGER",SALES MANAGER
" AREA MANAGER,AREA MANAGER,AGENCY MANAGER",SALES MANAGER
" AREA MANAGER,AREA MANAGER,COLLECTION MANAGER,DEPUTY MANAGER",DEPUTY MANAGER
" AREA MANAGER,ASSISTANT,AREA MANAGER",SALES MANAGER
" AREA MANAGER,BRANCH HEAD",BRANCH MANAGER
" AREA MANAGER,BRANCH MANAGER,MAKER",BRANCH MANAGER
" AREA MANAGER,BUSINESS DEVELOPMENT MANAGER,MANAGER,MANAGER,BUSINESS DEVELOPMENT MANAGER",SALES MANAGER
" AREA MANAGER,CUSTOMER SERVICE REP,CUSTOMER SERVICE ASSISTANT",RELATIONSHIP MANAGER
" AREA MANAGER,CUSTOMER SERVICE,BRANCH HEAD,CONSULTANT",BRANCH MANAGER
" AREA MANAGER,DEPUTY MANAGER,AREA MANAGER,MANAGER",DEPUTY MANAGER
" AREA MANAGER,FRAnchise incharge operation",SALES MANAGER
" AREA MANAGER,MANAGER,AREA MANAGER,DEPUTY MANAGER,DEPUTY MANAGER,AREA MANAGER",DEPUTY MANAGER
" AREA MANAGER,MANAGER,CONSULTANT,AGENCY MANAGER,BRANCH MANAGER",BRANCH MANAGER
" AREA MANAGER,MANAGER,MANAGER,MANAGER,CLUSTER MANAGER",SALES MANAGER
" AREA MANAGER,OFFICER,CREDIT OFFICER,EXECUTIVE",SALES MANAGER
" AREA MANAGER,REGIONAL AUDIT MANAGER",MANAGER
" AREA MANAGER,SALES OFFICER - RURAL VEHICLE,SALES OFFICER - ASSETS",SALES MANAGER
" AREA MANAGER,WEALTH MANAGER",WEALTH MANAGER
 AREA MANAGER-SALES  SERVICE,SALES MANAGER
