Previous Employer,Prev_Empl_Class
" AKUMENTIS healthcare (gynac, opthal) SUN Pharma., ,FDC Pharma Ltd",NON BANKING
 AKUMENTIS HEALTHCARE LTD,NON BANKING
" AL AHALIA MONEY EXCHANGE CO PVT LTD,Magma Fincorp Ltd",BANKING/BFSI
 AL FAEDAN EXCHANGE,NON BANKING
 Al Fardan Exchange LLC,NON BANKING
 Al Hooqani International Group,NON BANKING
 AL JAZIRA POULTRY FARM,NON BANKING
 Al musbah trading company saudi arabia,NON BANKING
 AL SALAM INSURANCE SERVICES CO,NON BANKING
" Al Tamam Tech. Trading. Est., UAE one,Acme Facility Management Services Pvt. Ltd,Relationship,Kerala.,Dhanalakshmi Bank",NON BANKING
 alchemist,NON BANKING
 Alchemist Limited,NON BANKING
" ALEMBIC PHARMCEUTICALS,ALEMBIC PHARMCEUTICALS",NON BANKING
 Alfardan exchange llc (UAE),NON BANKING
 ALHIND TOURS AND TRAVELS PVT LTD,NON BANKING
 Alivira Animal Health Limited,NON BANKING
 ALKEM LABORATARIES LTD,NON BANKING
" All Sec Technologies Pvt Ltd,AXIS BANK Ltd",BANKING/BFSI
 Allahabad Bank,BANKING/BFSI
" Allcheckdeals. com,Axis Bank",BANKING/BFSI
 ALLIANCE NIRMAAN LTD.,NON BANKING
 Allwin brushes india pvt ltd,NON BANKING
" AlsoStock Broking Firm,A Stock Broking Firm,II. PACKAGES MS",NON BANKING
 Altimetrik,NON BANKING
" AM Banking North India Finserv,Region consists of crore.,Operation Reliance Mutual Fund,Quality Award Reliance Mutual ,Operation Reliance Mutual Fund,YRS,Reliance Mutual Fund, Rajastha,Bajaj Finserv Lending Jaipur",BANKING/BFSI
 AMAZON,NON BANKING
 Amazon Developement Center,NON BANKING
 Amazon Development Centre,NON BANKING
 AMAZON.IN,NON BANKING
 American Technology Consulting,NON BANKING
" AMFI (Mutual Fund Certificate).,Hutch Telecom Limited,Indiabulls Securities Ltd,HDFC Bank Ltd",BANKING/BFSI
" AMI Computers,Mindcells Solutions Pvt Ltd,Ocwen Financial Solutions Pvt Ltd",NON BANKING
" AMIT EARTHMOVERS,ICICI LOMBARD,HDFC BANK MICRO FINANCE,MUTHOOT FINANCE,Bajaj Finserv",BANKING/BFSI
 Amrapali Aadya Trading  Investment Pvt Ltd,NON BANKING
" AMRAPALIAADYA TRADING  INVESTMENT PVT LTD,satyam capital broker pvt ltd",NON BANKING
" AMRITA INSTITUTE OF MEDICAL SCIENCES  RESEARCH CE,MUTHOOT FINANCE LTD",BANKING/BFSI
" Amul,Airtel,Amul",NON BANKING
" Amway India Pvt Ltd,LPO (Store Operation) Reliance Vadodara,asComputer Operator cum at Sheikh Agency (FMCG and,Vadodara on payroll of GBSS Securities Pvt Ltd,TATA Trend LTD",NON BANKING
 ANAND HYGENE,NON BANKING
 Anand Jewels indore pvt ltd,NON BANKING
 Anand Rathi,NON BANKING
" Anand Rathi Securities Pvt ltd,IDBI Bank Ltd,Assets Center (Dhule),Katni MP,ICICI Bank Ltd,Axis Bank Ltd,HDFC Bank Ltd",BANKING/BFSI
 ANAND RATHI SHARE  STOCK BROKER,NON BANKING
" Anand Rathi share and stock Brokers Ltd,SPECIALISATION—MMS (MBA) (Marketing, Full time, Se,India Infoline Ltd,year,Intelenet Infotech Pvt. Ltd,Reliance Money Pvt. Ltd",NON BANKING
" Anand Rathi Stock  Brokers Ltd,Muthoot Finance Ltd",BANKING/BFSI
" ANAND RATHI STOCK BROKING COMPANY LTD,HDFC Standard life as ON ROLL",BANKING/BFSI
" Anand Rathi,bMA Money,Angel Broking Ltd",NON BANKING
 ANANDAM GROUP,NON BANKING
" ANANDRATHI,HDFC SECURITIES LTD,KOTAK MAHINDRA BANK",BANKING/BFSI
 AnantNidhi Credit Co-opretive Society Limited,BANKING/BFSI
 Andhra Bank,BANKING/BFSI
 Andhra Pradesh BrahminCooperative Credit Society,BANKING/BFSI
" Aneja,Articled M P Chitale  Co",NON BANKING
